x,direcao_descida,erro,f(min),x_anterior
[-0.64597175  0.92730685],[-0.2709351   0.43766326],0.0005147377574771156,-1.076849661596416,[-0.64597175  0.92730685]
[-0.64624248  0.92774418],[-0.27072669  0.43732981],0.0005143445315826056,-1.0771141108440472,[-0.64624248  0.92774418]
[-0.646513    0.92818118],[-0.27051844  0.4369966 ],0.0005139516060978574,-1.0773781562022542,[-0.646513    0.92818118]
[-0.64678331  0.92861784],[-0.27031036  0.43666364],0.0005135589807933914,-1.0776417982879025,[-0.64678331  0.92861784]
[-0.64705341  0.92905417],[-0.27010244  0.43633094],0.0005131666554397972,-1.0779050377169161,[-0.64705341  0.92905417]
[-0.64732331  0.92949017],[-0.2698947   0.43599848],0.0005127746298077597,-1.0781678751042767,[-0.64732331  0.92949017]
[-0.64759299  0.92992584],[-0.26968711  0.43566627],0.0005123829036681263,-1.0784303110640279,[-0.64759299  0.92992584]
[-0.64786247  0.93036117],[-0.2694797   0.43533431],0.0005119914767920873,-1.0786923462092743,[-0.64786247  0.93036117]
[-0.64813175  0.93079617],[-0.26927245  0.4350026 ],0.0005116003489509149,-1.0789539811521849,[-0.64813175  0.93079617]
[-0.64840081  0.93123085],[-0.26906536  0.43467114],0.0005112095199160214,-1.0792152165039934,[-0.64840081  0.93123085]
[-0.64866967  0.93166519],[-0.26885844  0.43433993],0.0005108189894589369,-1.0794760528749996,[-0.64866967  0.93166519]
[-0.64893832  0.93209919],[-0.26865169  0.43400897],0.0005104287573517098,-1.0797364908745704,[-0.64893832  0.93209919]
[-0.64920677  0.93253287],[-0.2684451   0.43367825],0.0005100388233660699,-1.0799965311111435,[-0.64920677  0.93253287]
[-0.64947501  0.93296622],[-0.26823868  0.43334779],0.0005096491872743817,-1.080256174192226,[-0.64947501  0.93296622]
[-0.64974304  0.93339924],[-0.26803242  0.43301757],0.0005092598488487636,-1.080515420724398,[-0.64974304  0.93339924]
[-0.65001086  0.93383193],[-0.26782632  0.4326876 ],0.0005088708078617799,-1.0807742713133117,[-0.65001086  0.93383193]
[-0.65027848  0.93426428],[-0.26762039  0.43235788],0.0005084820640862068,-1.0810327265636954,[-0.65027848  0.93426428]
[-0.6505459   0.93469631],[-0.26741463  0.4320284 ],0.0005080936172948443,-1.0812907870793529,[-0.6505459   0.93469631]
[-0.65081311  0.93512801],[-0.26720903  0.43169918],0.0005077054672605739,-1.0815484534631665,[-0.65081311  0.93512801]
[-0.65108011  0.93555938],[-0.26700359  0.43137019],0.0005073176137568533,-1.081805726317097,[-0.65108011  0.93555938]
[-0.65134691  0.93599042],[-0.26679831  0.43104146],0.0005069300565567994,-1.0820626062421854,[-0.65134691  0.93599042]
[-0.6516135   0.93642114],[-0.2665932   0.43071298],0.0005065427954341281,-1.082319093838556,[-0.6516135   0.93642114]
[-0.65187989  0.93685152],[-0.26638826  0.43038474],0.0005061558301624974,-1.0825751897054148,[-0.65187989  0.93685152]
[-0.65214608  0.93728158],[-0.26618347  0.43005674],0.0005057691605158586,-1.0828308944410538,[-0.65214608  0.93728158]
[-0.65241205  0.93771131],[-0.26597885  0.429729  ],0.0005053827862680916,-1.0830862086428503,[-0.65241205  0.93771131]
[-0.65267783  0.93814071],[-0.2657744  0.4294015],0.0005049967071936886,-1.083341132907269,[-0.65267783  0.93814071]
[-0.6529434   0.93856978],[-0.2655701   0.42907424],0.0005046109230669761,-1.083595667829865,[-0.6529434   0.93856978]
[-0.65320876  0.93899853],[-0.26536597  0.42874723],0.0005042254336624346,-1.083849814005282,[-0.65320876  0.93899853]
[-0.65347393  0.93942695],[-0.265162    0.42842047],0.0005038402387549317,-1.0841035720272563,[-0.65347393  0.93942695]
[-0.65373888  0.93985504],[-0.26495819  0.42809395],0.0005034553381193582,-1.0843569424886166,[-0.65373888  0.93985504]
[-0.65400364  0.94028281],[-0.26475455  0.42776768],0.0005030707315309339,-1.0846099259812867,[-0.65400364  0.94028281]
[-0.65426819  0.94071025],[-0.26455107  0.42744166],0.0005026864187647268,-1.0848625230962867,[-0.65426819  0.94071025]
[-0.65453254  0.94113737],[-0.26434774  0.42711587],0.0005023023995964029,-1.0851147344237324,[-0.65453254  0.94113737]
[-0.65479668  0.94156416],[-0.26414459  0.42679034],0.0005019186738014408,-1.0853665605528402,[-0.65479668  0.94156416]
[-0.65506062  0.94199062],[-0.26394159  0.42646505],0.0005015352411557419,-1.0856180020719246,[-0.65506062  0.94199062]
