x,direcao_descida,erro,f(min),x_anterior
[-0.4174381  -0.01990735],[-0.22501651 -0.09312545],0.00024352572498136088,-0.24662123124265953,[-0.4174381  -0.01990735]
[-0.41766294 -0.02000041],[-0.22484585 -0.09305549],0.0002433412883187413,-0.24668042380172844,[-0.41766294 -0.02000041]
[-0.41788762 -0.02009339],[-0.22467533 -0.09298559],0.0002431569913442136,-0.24673952673458924,[-0.41788762 -0.02009339]
[-0.41811213 -0.02018631],[-0.22450493 -0.09291573],0.00024297283395198737,-0.24679854017695055,[-0.41811213 -0.02018631]
[-0.41833646 -0.02027915],[-0.22433467 -0.09284592],0.0002427888160362466,-0.2468574642643156,[-0.41833646 -0.02027915]
[-0.41856062 -0.02037193],[-0.22416454 -0.09277615],0.00024260493749126287,-0.24691629913198243,[-0.41856062 -0.02037193]
[-0.41878462 -0.02046464],[-0.22399454 -0.09270644],0.00024242119821153834,-0.24697504491504413,[-0.41878462 -0.02046464]
[-0.41900844 -0.02055727],[-0.22382467 -0.09263677],0.0002422375980914617,-0.2470337017483892,[-0.41900844 -0.02055727]
[-0.4192321  -0.02064984],[-0.22365493 -0.09256715],0.00024205413702565627,-0.24709226976670193,[-0.4192321  -0.02064984]
[-0.41945558 -0.02074234],[-0.22348532 -0.09249758],0.00024187081490868295,-0.2471507491044626,[-0.41945558 -0.02074234]
[-0.4196789  -0.02083477],[-0.22331584 -0.09242805],0.0002416876316352953,-0.24720913989594798,[-0.4196789  -0.02083477]
[-0.41990205 -0.02092712],[-0.2231465  -0.09235858],0.0002415045871002344,-0.24726744227523115,[-0.41990205 -0.02092712]
[-0.42012502 -0.02101941],[-0.22297728 -0.09228915],0.000241321681198438,-0.24732565637618256,[-0.42012502 -0.02101941]
[-0.42034783 -0.02111163],[-0.22280819 -0.09221977],0.00024113891382483664,-0.24738378233246977,[-0.42034783 -0.02111163]
[-0.42057047 -0.02120378],[-0.22263924 -0.09215043],0.0002409562848745061,-0.2474418202775579,[-0.42057047 -0.02120378]
[-0.42079294 -0.02129586],[-0.22247041 -0.09208115],0.0002407737942425216,-0.24749977034470994,[-0.42079294 -0.02129586]
[-0.42101524 -0.02138788],[-0.22230171 -0.09201191],0.00024059144182405373,-0.24755763266698708,[-0.42101524 -0.02138788]
[-0.42123738 -0.02147982],[-0.22213314 -0.09194272],0.00024040922751442884,-0.24761540737724916,[-0.42123738 -0.02147982]
[-0.42145934 -0.02157169],[-0.2219647  -0.09187358],0.0002402271512090214,-0.24767309460815468,[-0.42145934 -0.02157169]
[-0.42168114 -0.0216635 ],[-0.2217964  -0.09180448],0.00024004521280320906,-0.24773069449216112,[-0.42168114 -0.0216635 ]
[-0.42190277 -0.02175523],[-0.22162822 -0.09173543],0.0002398634121925281,-0.24778820716152583,[-0.42190277 -0.02175523]
[-0.42212423 -0.0218469 ],[-0.22146017 -0.09166644],0.00023968174927261926,-0.2478456327483054,[-0.42212423 -0.0218469 ]
[-0.42234552 -0.0219385 ],[-0.22129225 -0.09159748],0.0002395002239391292,-0.2479029713843567,[-0.42234552 -0.0219385 ]
[-0.42256664 -0.02203003],[-0.22112445 -0.09152858],0.00023931883608776578,-0.24796022320133687,[-0.42256664 -0.02203003]
[-0.4227876  -0.02212148],[-0.22095679 -0.09145973],0.0002391375856144493,-0.24801738833070372,[-0.4227876  -0.02212148]
[-0.42300839 -0.02221288],[-0.22078926 -0.09139092],0.00023895647241500598,-0.24807446690371582,[-0.42300839 -0.02221288]
