x,direcao_descida,erro,f(min),x_anterior
[0.26152084 0.49718179],[0.84549672 1.58165151],0.0017934564914151268,-1.1312864455218743,[0.26152084 0.49718179]
[0.26236568 0.49876218],[0.84484066 1.58039788],0.0017920416322343834,-1.1344965919904961,[0.26236568 0.49876218]
[0.26320986 0.50034133],[0.84418496 1.57914533],0.0017906278894068881,-1.1377016754838074,[0.26320986 0.50034133]
[0.26405339 0.50191922],[0.84352962 1.57789386],0.001789215262046844,-1.1409017039876115,[0.26405339 0.50191922]
[0.26489627 0.50349587],[0.84287462 1.57664346],0.0017878037492692644,-1.1440966854750976,[0.26489627 0.50349587]
[0.26573849 0.50507126],[0.84221999 1.57539414],0.0017863933501901655,-1.1472866279068628,[0.26573849 0.50507126]
[0.26658005 0.50664541],[0.84156571 1.57414588],0.001784984063925959,-1.1504715392309297,[0.26658005 0.50664541]
[0.26742097 0.50821831],[0.8409118  1.57289869],0.001783575889594552,-1.1536514273827705,[0.26742097 0.50821831]
[0.26826122 0.50978996],[0.84025825 1.57165257],0.0017821688263139597,-1.1568263002853232,[0.26826122 0.50978996]
[0.26910083 0.51136037],[0.83960507 1.57040751],0.0017807628732036738,-1.1599961658490159,[0.26910083 0.51136037]
[0.26993978 0.51292953],[0.83895225 1.56916351],0.0017793580293835873,-1.1631610319717836,[0.26993978 0.51292953]
[0.27077808 0.51449745],[0.83829981 1.56792057],0.0017779542939745361,-1.1663209065390907,[0.27077808 0.51449745]
[0.27161573 0.51606413],[0.83764773 1.56667868],0.0017765516660982739,-1.1694757974239502,[0.27161573 0.51606413]
[0.27245272 0.51762957],[0.83699603 1.56543786],0.0017751501448771052,-1.1726257124869435,[0.27245272 0.51762957]
[0.27328907 0.51919376],[0.83634471 1.56419808],0.0017737497294343597,-1.1757706595762407,[0.27328907 0.51919376]
[0.27412476 0.52075672],[0.83569376 1.56295936],0.0017723504188942585,-1.1789106465276218,[0.27412476 0.52075672]
[0.27495981 0.52231845],[0.83504319 1.56172168],0.0017709522123814088,-1.1820456811644935,[0.27495981 0.52231845]
[0.2757942  0.52387893],[0.834393   1.56048505],0.0017695551090215593,-1.185175771297913,[0.2757942  0.52387893]
[0.27662794 0.52543818],[0.83374319 1.55924947],0.001768159107941337,-1.1883009247266054,[0.27662794 0.52543818]
[0.27746104 0.52699619],[0.83309377 1.55801493],0.00176676420826765,-1.1914211492369833,[0.27746104 0.52699619]
[0.27829348 0.52855298],[0.83244474 1.55678144],0.001765370409128803,-1.1945364526031685,[0.27829348 0.52855298]
[0.27912528 0.53010853],[0.83179609 1.55554898],0.0017639777096534034,-1.1976468425870104,[0.27912528 0.53010853]
[0.27995642 0.53166284],[0.83114783 1.55431756],0.0017625861089711123,-1.2007523269381046,[0.27995642 0.53166284]
[0.28078692 0.53321593],[0.83049996 1.55308718],0.0017611956062122162,-1.203852913393816,[0.28078692 0.53321593]
[0.28161678 0.53476779],[0.82985248 1.55185783],0.0017598062005078022,-1.206948609679294,[0.28161678 0.53476779]
[0.28244598 0.53631842],[0.8292054  1.55062951],0.001758417890989828,-1.2100394235074963,[0.28244598 0.53631842]
[0.28327454 0.53786782],[0.82855871 1.54940223],0.001757030676790912,-1.2131253625792051,[0.28327454 0.53786782]
[0.28410245 0.539416  ],[0.82791242 1.54817597],0.0017556445570444089,-1.2162064345830483,[0.28410245 0.539416  ]
[0.28492972 0.54096295],[0.82726653 1.54695074],0.0017542595308845065,-1.2192826471955192,[0.28492972 0.54096295]
[0.28575634 0.54250867],[0.82662104 1.54572654],0.0017528755974461781,-1.222354008080994,[0.28575634 0.54250867]
[0.28658232 0.54405318],[0.82597594 1.54450336],0.0017514927558649077,-1.2254205248917536,[0.28658232 0.54405318]
[0.28740765 0.54559646],[0.82533125 1.5432812 ],0.0017501110052772298,-1.228482205268001,[0.28740765 0.54559646]
[0.28823234 0.54713852],[0.82468696 1.54206006],0.0017487303448203366,-1.2315390568378821,[0.28823234 0.54713852]
[0.28905638 0.54867936],[0.82404308 1.54083994],0.0017473507736320499,-1.2345910872175037,[0.28905638 0.54867936]
[0.28987978 0.55021898],[0.8233996  1.53962084],0.001745972290851062,-1.2376383040109538,[0.28987978 0.55021898]
[0.29070253 0.55175738],[0.82275653 1.53840276],0.0017445948956167979,-1.240680714810319,[0.29070253 0.55175738]
[0.29152465 0.55329457],[0.82211387 1.53718568],0.0017432185870692233,-1.2437183271957066,[0.29152465 0.55329457]
[0.29234612 0.55483054],[0.82147162 1.53596962],0.0017418433643493737,-1.2467511487352605,[0.29234612 0.55483054]
[0.29316695 0.55636529],[0.82082978 1.53475458],0.0017404692265987063,-1.2497791869851829,[0.29316695 0.55636529]
[0.29398714 0.55789883],[0.82018835 1.53354054],0.0017390961729595426,-1.2528024494897514,[0.29398714 0.55789883]
[0.29480669 0.55943116],[0.81954733 1.5323275 ],0.0017377242025751072,-1.2558209437813388,[0.29480669 0.55943116]
[0.29562559 0.56096227],[0.81890673 1.53111548],0.0017363533145889262,-1.2588346773804329,[0.29562559 0.56096227]
[0.29644386 0.56249218],[0.81826654 1.52990446],0.0017349835081457137,-1.2618436577956536,[0.29644386 0.56249218]
[0.29726149 0.56402087],[0.81762677 1.52869444],0.0017336147823905287,-1.2648478925237732,[0.29726149 0.56402087]
[0.29807847 0.56554836],[0.81698741 1.52748542],0.0017322471364693685,-1.267847389049735,[0.29807847 0.56554836]
[0.29889482 0.56707464],[0.81634848 1.5262774 ],0.0017308805695288873,-1.2708421548466713,[0.29889482 0.56707464]
[0.29971053 0.56859971],[0.81570996 1.52507038],0.001729515080716572,-1.2738321973759237,[0.29971053 0.56859971]
[0.3005256  0.57012357],[0.81507186 1.52386436],0.0017281506691802632,-1.27681752408706,[0.3005256  0.57012357]
[0.30134004 0.57164623],[0.81443419 1.52265934],0.001726787334068927,-1.2797981424178952,[0.30134004 0.57164623]
[0.30215383 0.57316769],[0.81379693 1.5214553 ],0.0017254250745320462,-1.2827740597945079,[0.30215383 0.57316769]
[0.30296699 0.57468794],[0.8131601  1.52025226],0.0017240638897198736,-1.2857452836312595,[0.30296699 0.57468794]
[0.30377952 0.57620699],[0.81252369 1.51905022],0.0017227037787833205,-1.2887118213308146,[0.30377952 0.57620699]
[0.30459141 0.57772484],[0.81188771 1.51784916],0.0017213447408739643,-1.2916736802841577,[0.30459141 0.57772484]
[0.30540266 0.57924149],[0.81125215 1.51664909],0.001719986775144202,-1.2946308678706122,[0.30540266 0.57924149]
[0.30621328 0.58075694],[0.81061702 1.51545   ],0.0017186298807471412,-1.2975833914578585,[0.30621328 0.58075694]
